,comment,author,date,like,type
26,승진이형 진짜 마음에 든다 옷 벗어주는 것도 스윗하고 살살 긁는 것도 좋고 ㅋㅋㅋㅋㅋ,사나이 황노현,2022-02-07T11:06:32Z,1,main-comment
27,자기가 안되는걸 알고 &quot;아 내가 센게 아니었구나&quot;를 깨닫고 나서 &quot;운동 배워야겠다&quot; 하는게 운동 배워서 진짜로 세진다음에 남을 패겠다는 걸로 보여서 진짜 충격이고 소름끼침..,이새침데기,2022-02-06T15:09:38Z,181,main-comment
28,ㅋㅋㅋㅋㅋㅋㅋ승진이형 너무좋다 승진이형은 진짜 팩트꽃는거보소 와 개좋다,강아,2022-02-06T09:27:19Z,4,main-comment
29,재미있으면서도 양아치들 섭외해서 어그로 끄는 방송인줄 알았는데 참교육도 해주고 교훈도 주고 진짜 멋있고 운동 배운 사람들은 함부로 까불지 않는다는 것도 알려주고 진짜 좋은 콘텐츠네요 ㅋㅋ,clio pesuto,2022-02-03T10:34:30Z,2607,main-comment
30,승진이형 멘트 잘 친다 타율도 높고ㅋㅋㅋㅋㅋ,김재민,2022-02-06T01:58:03Z,10,main-comment
31,보다보니까 문호님 팬됐네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 개무섭게 생기셨는데 그냥 강한 게 느껴지는 외모,밀가루,2022-02-05T16:46:06Z,32,main-comment
32,이 프로그램의 최대 수혜자는 문호님인 듯. 찰지게 스트레스 해소하면서 존재감 뿜뿜.,범근튜브,2022-02-07T06:03:15Z,1,main-comment
33,이 지역에 재능이 있지만 취미로 하는 사람들을 게스트로 모셔서 기회를 주고 도우며 발굴하는 컨텐츠면 좋겠네요,라 솔,2022-02-06T19:20:19Z,0,main-comment
34,문호형 진짜 찬성이형 옆에서 웃는모습만 봤을땐 그냥 순둥순둥한 착한형인줄알았는데 진지해진 모습 보니까 ㄹㅇ 저승사자 였었네... 일반인 입장에서 이런 사람들(프로들) 속에서 세계 최고 레벨인사람은 어느수준인지 감도안오네..,도전자,2022-02-03T10:30:36Z,2078,main-comment
35,씩씩한거 졸라찾더만 시작하자마자 힘들어서 졸라 씩씩거리네ㅋㅋㅋㅋㅋㅋㅋㅋ,horse J,2022-02-06T03:42:29Z,21,main-comment
36,"<a href=""https://www.youtube.com/watch?v=hRPqJfo483c&amp;t=24m00s"">24:00</a> 여기서 찬성이형 표정 진짜 개웃기네 행복해 보여",혈주,2022-02-06T06:12:42Z,50,main-comment
37,"<a href=""https://www.youtube.com/watch?v=hRPqJfo483c&amp;t=27m00s"">27:00</a> 프로그램 취지에 맞는 말이 나와 웃는 정찬성님",Ldjd,2022-02-06T01:47:14Z,50,main-comment
38,너무 흥미진진하고 긴장타면서 즐겁고 재미있게 보고 있습니다. 코로나때문에 힘든 시기에 스트레스도 풀리고 너무 좋습니다! 감사합니다! 쭈욱 잘 보겠습니다!,SWELLDOM TV,2022-02-07T16:33:01Z,0,main-comment
39,판사가 판결을 약하게 해주니까  전과가 자랑이라고.... 제발 처벌을 강화해주세요.,내편은 오직 가족뿐,2022-02-03T10:17:49Z,2132,main-comment
40,진짜 ㅈㄴ 좋은 컨텐츠다ㅋㅋㅋ 걍 전국구 양아치들 다 조져놓으면 안되나,유승우,2022-02-06T04:01:19Z,12,main-comment
41,문호행님 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 다운시키고 복부만 웃으면서 때리시는데 ㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 뉴비보는 고인물같닼ㅋㅋㅋㅋㅋㅋ,푸우,2022-02-07T03:39:13Z,0,main-comment
42,아니 파이터 찾는 컨텐츠가 양아치 참교육 컨텐츠가 되버렸네. <br>어떤 방향으로든 응원합니다.,Sungkeun Park,2022-02-06T14:44:30Z,2,main-comment
43,하승진님볼때 불안하긴한데 저런 캐릭터가 있어야 전체적으로 프로그램이 재밌고 정체성이 확실해지는거같습니다,개구리,2022-02-05T12:07:57Z,21,main-comment
44,하승진씨 1화 때부터 느꼈는데.. 큰 맘 먹고 나온 일반인 참가자들 살살 자극하면서 기죽였다가 자극했다가 고기 뒤집듯이 구워 삶아서 포기할 것도 못하게 만들어가지고 문호님한테 더 맞게 만들고 그렇게 맞아서 주눅 든 참가자들한테 또 팩트폭행한답시고 한마디 한마디 툭툭 꽂아서 자존심 묵사발 만들고 이러시던데 이러는 거 진짜 너무 보기 좋습니다 앞으로도 계속 그렇게 부탁해요 응원합니다,리플리,2022-02-03T14:23:27Z,3517,main-comment
45,봉봉 저 동네 자체가 20대초반 술집에 오피 유흥가임,췍스초코,2022-02-07T17:19:51Z,0,reply-comment
46,키220에 몸무게 150kg아님? 60키로대 멸치육수충들은 한손으로 목잡고 들어올릴 수 있을듯,Factos,2022-02-07T15:18:18Z,0,reply-comment
47,ㅋㅋ인정,신현준,2022-02-07T12:19:47Z,0,reply-comment
48,하승진같은 존재는 있어야함.<br>서장훈같은 존재,내얼굴,2022-02-07T08:50:50Z,0,reply-comment
49,원래 사람은 저렇게 자극 해야됨 그래야 더욱 더 성장하고 버릇고쳐짐,돌맹이,2022-02-07T06:36:33Z,0,reply-comment
50,마지막에 파닥파닥거리네~ㅋㅋㅋ 처음 맞고 머리 뒤로 제껴질때부터 정찬성님 표정: 예상했지만 어른이랑 한 초5학녕 정도 싸움인거 알고 이거 어쩌나.. 왠만하면 덜 다치고 정신은 차리게 문호가 적당히 해줘야 할텐데 하는 걱정하며 난처한 표정~ㅎㅎㅎ,신데렐라,2022-02-06T05:52:32Z,6,main-comment
51,"하승진도 순수 피지컬(키,덩치)은 원탑이다 보니까 옆에서 입딜 잘넣네 ㅋㅋㅋㅋ",Mason 76,2022-02-05T14:26:00Z,40,main-comment
52,찬성이형 입장에서 보면 얼마나 가소로울까,마마마마마마마,2022-02-06T04:57:25Z,11,main-comment
53,쎈 사람은 여유가 있다.. 정찬성한테 제일 어울리는 말인듯 ㅋㅋ 정찬성 말 하는데 여유 뒤진다,완희,2022-02-05T15:09:39Z,19,main-comment
54,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ부끄러움이라는 감정이 얼마나 중요한지를 알려주는 컨텐츠 ㄹㅇ,Dhd,2022-02-03T15:40:16Z,891,main-comment
55,하승진이 자존심 건들여서 포기를 못하게 만드네 ㅋㅋㅋㅋㅋㅋ,권민우,2022-02-07T14:21:30Z,1,main-comment
56,일권이형 평소랑 다르게 장난기 빼고 말하는모습 보기 좋네요,모올라,2022-02-07T12:16:27Z,0,main-comment
57,이 컨텐츠 쪼회수 짱난아니네여 형님 ㅋㅋ누구 기획이지 소고기 사줘야할듯,저는페미니즘을자지합니다,2022-02-07T05:03:18Z,2,main-comment
58,정찬성님 컨텐츠 선택하는 눈이 있으신듯<br>파이트클럽도 그렇고 이번에도 겁나 재밌네ㅋㅋㅋㄱㅋ,윤동주,2022-02-07T09:13:31Z,0,main-comment
59,"수유리사기꾼 말할때는 와... 존나 무서운 양아치구나... 했는데<br>저승문호님 등판하니까 왜이렇게 응애응애가 됐지..<br><br>확실히 운동경험 1도없는 일반인입장으로 보면 깡있는 양아치는 무섭지만 일반인들에게 항상 웃어주고 재미있는 컨텐츠 제공해주는 프로파이터가 훨씬 무섭다는걸 다시금 깨닳고 갑니다..<br><a href=""https://www.youtube.com/watch?v=hRPqJfo483c&amp;t=23m40s"">23:40</a> 개멋있당 ;",EZ Tiger,2022-02-07T04:34:21Z,2,main-comment
60,"<a href=""https://www.youtube.com/watch?v=hRPqJfo483c&amp;t=22m15s"">22:15</a> 문호형 여기 피하는거 존나 멋있다 만화같에<br>눈 깜빡안하는거 존나간지",kjk hvmhb,2022-02-06T00:14:33Z,10,main-comment
61,하승진 ㅋㅋㅋㅋㅋㅋ 자꾸 포기할라하는데 옆에서 바람넣네 못 그만두게 ㅋㅋㅋㅋㅋ,김헨리,2022-02-06T10:32:16Z,12,main-comment
