,comment,author,date,like,type
24,개멋있다 ^^,김엉클,2022-02-12T06:04:48Z,0,reply-comment
25,자기관리를 얼마나 철저하게 하면 30대 중반의 나이에 저렇게 대단한 실력을 낼 수 있을지.. 정말 대단합니다👍 곽윤기 선수 화이팅!!,win ter,2022-02-11T21:16:09Z,91,main-comment
26,김동욱 선수 터치 받을 때 아웃으로 가서 두 번이나 빼앗기는 실수 결승 땐 조심하셔야겠네요.. ㅠㅠ 그걸 두 번이나 만회한 곽윤기 선수 정말 너무 멋있어.. 은퇴 무대 금메달로 꼬옥 마무리 하시길 기도할게요!!!,hye joo,2022-02-11T15:54:08Z,297,main-comment
27,"<a href=""https://www.youtube.com/watch?v=gd1Ab-TeGCY&amp;t=6m44s"">6:44</a> 아웃코스 진입 <a href=""https://www.youtube.com/watch?v=gd1Ab-TeGCY&amp;t=6m48s"">6:48</a> 아웃코스 페이크 <a href=""https://www.youtube.com/watch?v=gd1Ab-TeGCY&amp;t=6m49s"">6:49</a> 다시 아웃코스 진입 <a href=""https://www.youtube.com/watch?v=gd1Ab-TeGCY&amp;t=6m51s"">6:51</a> 아웃코스로 나올 줄 알고 상대방이 아웃 막으려는 움직임 그대로 직각으로 꺾으면서 인코스 역전",지훈,2022-02-12T04:07:47Z,89,main-comment
28,2010년에 우승하고 시상대에서 아브라카타브라 출때가 벌써 12년전인데 지금도ㅇ국대인거ㅇ보면 자기관리와 스케이트에대한 애정이 진짜 넘사인듯,스피드놈,2022-02-11T20:13:12Z,35,main-comment
29,진짜 미쳤음 ㅋㅋㅋㅋ<br>중국은 왜 올라갔는지 진짜 의문 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ마지막에 곽윤기 선수 대박 ㅋㅋㅋㅋㅋㅋ 개멋있어요<br>우리 선수들 결승 진출한거 진짜 축하하고 금메달 노려봅시다!파이팅!!<br>아 그리고 갑자기 생각 났는데 아까 배뚠뚠 자유이용권이랑 공공칠빵 드립 개웃겼어요 ㅋㅋㅋㅋ,멀바,2022-02-11T12:48:23Z,5018,main-comment
30,결승에서도 저 세레머니를 볼 수 있기를!!ㅋㅋㅋㅋ 너무 잘하네요 우리 선수들,우엙어얽,2022-02-11T15:07:49Z,30,main-comment
31,곽윤기 선수 추월할때 너무 시원했고  세레모니  통쾌하고 멋있고 웃기고 최고네요! 경기의 묘미와 엣지를 아시는분~대한민국 선수들 모두 최고!,귀여미,2022-02-12T00:10:26Z,8,main-comment
32,"와 곽윤기 선수님 추월 진짜 잘 하시고 깔끔.. 너무 잘하셨어요 ㅠㅠㅠ 곽윤기 선수님, 황대헌 선수님, 김동욱 선수님, 이준서 선수님 모두 수고하셨어요!!",사리,2022-02-12T02:02:13Z,3,main-comment
33,와 진짜 부딪힐까봐 너무 조마조마하다ㅜㅜ<br>선수들은 얼마나 심장이 떨릴까<br>멋지다 결승도 화이팅!!,집이지영,2022-02-11T15:39:17Z,14,main-comment
34,곽윤기선수가 아직 국가대표선수로 건재한 이유❤❤❤ 꼭 결승전도 좋은결과얻어서 준비한 세리머니 모두보고싶어요😘,박Armii,2022-02-11T12:49:09Z,2360,main-comment
